'Smoked Haddock','Tofu'
'Salt Cod','Smoked Tempeh'
'Colby Jack Cheese','Cashew Cheese'
'Parmesan Cheese','Nutritional Yeast'
'Stilton Cheese','Cashew Blue Cheese'
'Bacon','Smoked Tempeh'
'Rigatoni','Zucchini Noodles'
'Pork Chops','Seitan'
'Double Cream','Coconut Cream'
'Chicken Breast','Plant-Based Chicken Pieces'
'Fish Sauce','Soy Sauce'
'Fish Stock','Vegetable Broth'
'Spaghetti','Zucchini Noodles'
'Bread','Gluten-Free Bread'
'Digestive Biscuits','Gluten-Free Biscuits'
'Turkey Mince','Textured Vegetable Protein (TVP)'
'Italian Fennel Sausages','Marinated Tofu'
'Milk Chocolate','Dairy-Free Chocolate'
'Feta','Cashew Feta'
'Paneer','Cashew Paneer'
'Pork','Textured Vegetable Protein (TVP)'
'Flour Tortilla','Lettuce Wrap'
'Parma Ham','Smoked Tempeh'
'Parmesan','Nutritional Yeast'
'Italian fennel sausages','Marinated Tofu'
'Plain chocolate','Dairy-Free Chocolate'
'Paccheri Pasta','Lentil Pasta'
'Eggs','Flaxseed Mixture'
'Anchovy Fillet','Marinated Mushrooms'
'Baby Squid','Marinated Tofu'
'Corn Flour','Potato Starch'
'Brie','Cashew Brie'
'White Flour','Almond Flour'
'Lamb Shoulder','Seitan'
'Puff Pastry','Rice Paper'
'Chicken Thighs','Plant-Based Chicken Pieces'
'Tuna','Jackfruit'
'Kielbasa','Smoked Tempeh'
'Cheese Curds','Cashew Cheese Curds'
'Single Cream','Coconut Cream'
'Doner Meat','Lentil Sausages'
'Gelatine Leafs','Agar-Agar'
'Vermicelli','Zucchini Noodles'
'Sausages','Plant-Based Sausages'
'Mackerel','Marinated Tofu'
'Beef','Textured Vegetable Protein (TVP)'
'Dark Chocolate Chips','Dairy-Free Dark Chocolate'
'Clams','Marinated Mushrooms'
'Duck Legs','Seitan'
'Cheese','Cashew Cheese'
'Lamb Leg','Textured Vegetable Protein (TVP)'
'Smoked Salmon','Marinated Carrot Lox'
'Milk','Almond Milk'
'Chicken Stock Cube','Vegetable Stock Cube'
'Breadcrumbs','Gluten-Free Breadcrumbs'
'Goose Fat','Coconut Oil'
'Ice Cream','Dairy-Free Ice Cream'
'Pecorino','Cashew Pecorino'
'Cream','Coconut Cream'
'Chicken Stock','Vegetable Stock'
'Sesame Seed Burger Buns','Gluten-Free Burger Buns'
'Yogurt','Almond Yogurt'
'Parmigiano-Reggiano','Nutritional Yeast'
'Christmas Pudding','Gluten-Free Pudding'
'Semi-skimmed Milk','Almond Milk'
'Black Pudding','Smoked Tempeh'
'Gouda Cheese','Cashew Gouda'
'Baguette','Gluten-Free Baguette'
'Couscous','Cauliflower Rice'
'Ground Pork','Lentil Crumbles'
'Beef Brisket','Seitan'
'Ground Beef','Textured Vegetable Protein (TVP)'
'Chicken Legs','Plant-Based Chicken Legs'
'Greek Yogurt','Plant-Based Greek Yogurt'
'Condensed Milk','Coconut Condensed Milk'
'Goats Cheese','Cashew Goat Cheese'
'Self Raising Flour','Gluten-Free Self-Raising Flour'
'Beef Fillet','Textured Vegetable Protein (TVP)'
'Monterey Jack Cheese','Cashew Monterey Jack'
'Hot Beef Stock','Vegetable Broth'
'Bread','Gluten-Free Bread'
'Mozzarella','Cashew Mozzarella'
'Udon Noodles','Gluten-Free Noodles'
'Oyster Sauce','Vegan Oyster Sauce'
'Lamb','Seitan'
'Salmon','Marinated Tofu'
'Chicken Thighs','Plant-Based Chicken Thighs'
'Cheddar Cheese','Cashew Cheddar'
'Squid','Marinated Tofu'
'Lasagne Sheets','Zucchini Slices'
'Beef Gravy','Mushroom Gravy'
'Haddock','Jackfruit'
'Minced Pork','Lentil Crumbles'
'Lean Minced Beef','Textured Vegetable Protein (TVP)'
'Tuna','Jackfruit'
'Penne Rigate','Zucchini Noodles'
'Soya Milk','Almond Milk'
'Chicken Stock','Vegetable Stock'
'Ice Cream','Dairy-Free Ice Cream'
'Beef Stock','Vegetable Broth'
'Sardines','Marinated Mushrooms'
'Salmon','Marinated Tofu'
'White Fish','Jackfruit'
'Heavy Cream','Coconut Cream'
'Flour','Almond Flour'
'Monkfish','Marinated Mushrooms'
'Chorizo','Lentil Sausages'
'Lamb Loin Chops','Seitan'
'Wonton Skin','Rice Paper'
'Macaroni','Lentil Pasta'
'Shredded Mexican Cheese','Cashew Cheese'
'Parmesan cheese','Cashew Parmesan'
'Sour Cream','Cashew Cream'
'Goat Meat','Textured Vegetable Protein (TVP)'
'Sausages','Plant-Based Sausages'
'self-raising flour','Gluten-Free Self-Raising Flour'
'Flaked Almonds','Dairy-Free Almond Yogurt'
'egg','Flaxseed Mixture'
'Fries','Oven-Baked Potato Slices'
'Linguine Pasta','Zucchini Noodles'
'spaghetti','Spaghetti Squash'
'Minced Beef','Lentil Crumbles'
'Anchovy Fillet','Marinated Mushrooms'
'Tahini','Sunflower Butter'
'Chicken thigh','Plant-Based Chicken Thighs'
'White Fish Fillets','Jackfruit'
'Tiger Prawns','Marinated Mushrooms'
'Cod','Marinated Mushrooms'
'Breadcrumbs','Gluten-Free Breadcrumbs'
'Pecorino','Cashew Pecorino'
'Noodles','Zucchini Noodles'
'Herring','Marinated Mushrooms'
'Gruyere cheese','Cashew Gruyere'
'King Prawns','Marinated Mushrooms'
