552,Egyptian Fatteh
553,Tonkatsu pork
554,Japanese gohan rice
555,Japanese Katsudon
556,Ham hock colcannon
557,Boxty Breakfast
558,Coddled pork with cider
559,Mustard champ
560,Piri-piri chicken and slaw
561,Spring onion and prawn empanadas
562,Grilled Portuguese sardines
563,Portuguese prego with green piri-piri
564,Fish fofos
565,Portuguese barbecued pork (Febras assadas)
566,Portuguese fish stew (Caldeirada de peixe)
567,Portuguese custard tarts
568,Moroccan Carrot Soup
569,Mee goreng mamak
570,Apam balik
571,Ayam Percik
572,Nasi lemak
573,Roti john
574,Beef Rendang
575,Seri muka kuih
576,Cevapi Sausages
577,Croatian lamb peka
578,Traditional Croatian Goulash
579,Croatian Bean Stew
580,Mushroom soup with buckwheat
581,Burek
582,Fresh sardines
583,Walnut Roll Gužvara
584,Chivito uruguayo
585,Fettuccine Alfredo
586,Sushi
